,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness,fitness.1,fitness.2,fitness.3,fitness.4,fitness
20,0.04,5.0,140.0,0.7793467230762481,2.4660713973120068,0.02,0.2,8,0,0.2234627243504081,2.6525895688905834,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.442413389329523,25.634046040700493,0.8,1.2,0,-80,5,5,60,59.999770579058456,8.0,86.66628429843077,59.999770579058456,8.0,86.66628429843077,optimized_frequencies,129,0.0,0.0,0.0,0.0,0.0,0.0
21,0.04,5.0,140.0,0.4470792009114749,6.923350494788528,0.02,0.2,8,0,0.0743269746417083,9.92494903104172,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.8535664536713643,13.36758784440326,0.8,1.2,0,-80,5,5,60,59.99961584510875,61.0,-1.6673069248187506,59.99961584510875,61.0,-1.6673069248187506,optimized_frequencies,130,0.0,0.0,0.0,0.0,0.0,0.0
22,0.04,5.0,140.0,0.4648473977322149,6.505070415799105,0.02,0.2,8,0,0.0658292577603081,11.969805700949458,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.265766102149668,27.06110914055364,0.8,1.2,0,-80,5,5,60,59.999860176690056,59.0,1.6664336278167606,59.999860176690056,59.0,1.6664336278167606,optimized_frequencies,131,0.0,0.0,0.0,0.0,0.0,0.0
23,0.04,5.0,140.0,0.2950630019256329,1.3811426884940907,0.02,0.2,8,0,0.1657096804151929,8.605436667623671,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.866237584076483,13.345646459893434,0.8,1.2,0,-80,5,5,60,59.99962154183856,60.0,-0.0006307636024042,59.99962154183856,60.0,-0.0006307636024042,optimized_frequencies,132,0.0,0.0,0.0,0.0,0.0,0.0
24,0.04,5.0,140.0,0.3256646582347269,14.129503135100975,0.02,0.2,8,0,0.0740621228066585,11.684811838943643,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.620464741813213,26.124438363826595,0.8,1.2,0,-80,5,5,60,59.999768143719976,14.0,76.6662802395333,59.999768143719976,66.0,-10.000386427133371,optimized_frequencies,133,0.0,0.0,0.0,0.0,0.0,0.0
25,0.04,5.0,140.0,0.5972166705302964,0.9295839548963584,0.02,0.2,8,0,0.1348365177629832,10.497543741580714,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.89185473839873,21.69199294816673,0.8,1.2,0,-80,5,5,60,59.9997342663537,61.0,-1.6671095560771694,59.9997342663537,61.0,-1.6671095560771694,optimized_frequencies,134,0.0,0.0,0.0,0.0,0.0,0.0
26,0.04,5.0,140.0,0.9874540922097076,17.329953139238,0.02,0.2,8,0,0.2100792480528977,7.927591875115084,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.044135933892317,26.937831377170493,0.8,1.2,0,-80,5,5,60,59.999772795262025,51.0,14.99962132543671,59.999772795262025,51.0,14.99962132543671,optimized_frequencies,135,0.0,0.0,0.0,0.0,0.0,0.0
27,0.04,5.0,140.0,0.7029937580088326,8.862268199810229,0.02,0.2,8,0,0.0429394682370438,10.351266744706088,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.05720489888724,25.04021311467945,0.8,1.2,0,-80,5,5,60,59.99976135644994,56.0,6.666268927416562,59.99976135644994,56.0,6.666268927416562,optimized_frequencies,136,0.0,0.0,0.0,0.0,0.0,0.0
28,0.04,5.0,140.0,0.2997147432952726,5.835364107692,0.02,0.2,8,0,0.2010586058629824,7.384158072075273,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.012448356676604,15.570286838582966,0.8,1.2,0,-80,5,5,60,59.99966024915062,55.0,8.332767081917703,59.99966024915062,55.0,8.332767081917703,optimized_frequencies,137,0.0,0.0,0.0,0.0,0.0,0.0
29,0.04,5.0,140.0,0.2800467925167653,4.273975374470373,0.02,0.2,8,0,0.082801027180517,10.99194819126759,0.1,0.2,2,0,0.8,0.2,0.2,0.8,15.123913593451563,27.211597820802982,0.8,1.2,0,-80,5,5,60,59.999933083362514,60.0,-0.0001115277291437,59.999933083362514,60.0,-0.0001115277291437,optimized_frequencies,138,0.0,0.0,0.0,0.0,0.0,0.0
